iter	Passed	Remaining
0	1	177
1	3	178
2	5	172
3	6	159
4	8	157
5	9	149
6	10	136
7	11	133
8	12	125
9	13	118
10	13	112
11	14	107
12	15	102
13	16	98
14	16	94
15	17	90
16	17	86
17	18	83
18	18	80
19	19	77
20	20	75
21	20	73
22	21	70
23	21	68
24	22	66
25	22	65
26	23	63
27	24	61
28	24	60
29	25	58
30	25	57
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	29	50
37	30	49
38	31	48
39	31	47
40	32	46
41	32	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	47	22
68	48	21
69	49	21
70	49	20
71	50	19
72	51	18
73	51	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	61	7
89	62	6
90	62	6
91	63	5
92	64	4
93	64	4
94	65	3
95	65	2
96	66	2
97	67	1
98	67	0
99	68	0
